@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/usr/bin/python2 '/home/eirik/CERN/beta-Beat/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=model_opticsfile.1_Qx0.31_Qy0.32_beam1/twiss.dat' '--files=/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds' '--output=/home/eirik/CERN/global_coupling_correction3/tracking/outputfiles/' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=model_opticsfile.1_Qx0.31_Qy0.32_beam1/error_deffs.txt' '--coupling=1'"
@ CWD %s "/home/eirik/CERN/global_coupling_correction3/tracking"
@ Date %s "29. April 2021, 14:33:05"
@ Q1 %le 0.30000305175799996
@ MUX %le 0.0
@ Q2 %le 0.332000732422
@ MUY %le 0.0
@ FILES %s "/home/eirik/CERN/global_coupling_correction3/tracking/hole_in_one_dir/trackone.sdds.liny"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEY               STDPHY               PHYMDL               MUYMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
         "BPM.29L4.B1"        "BPM.28L4.B1"          5456.045404           5509.49392                    1        0.12640427038                    0           0.12645509          12.29064653
         "BPM.28L4.B1"        "BPM.27L4.B1"           5509.49392          5562.942436                    1       0.103610007341                    0            0.1035922          12.41710162
         "BPM.27L4.B1"        "BPM.26L4.B1"          5562.942436          5616.390952                    1      0.1367446716906                    0           0.13669324          12.52069382
         "BPM.26L4.B1"        "BPM.25L4.B1"          5616.390952          5669.839468                    1      0.1188258321674                    0           0.11884286          12.65738706
         "BPM.25L4.B1"        "BPM.24L4.B1"          5669.839468          5723.287984                    1       0.127866101069                    0             0.127916          12.77622992
         "BPM.24L4.B1"        "BPM.23L4.B1"          5723.287984            5776.7365                    1       0.103007210342                    0            0.1029947          12.90414592
         "BPM.23L4.B1"        "BPM.22L4.B1"            5776.7365          5830.185015                    1       0.135067701885                    0           0.13500673          13.00714062
         "BPM.22L4.B1"        "BPM.21L4.B1"          5830.185015          5883.633531                    1       0.119448120831                    0           0.11946081          13.14214735
         "BPM.21L4.B1"        "BPM.20L4.B1"          5883.633531          5937.082047                    1       0.130117962811                    0             0.130177          13.26160816
         "BPM.20L4.B1"        "BPM.19L4.B1"          5937.082047          5990.530563                    1       0.100152150861                    0            0.1001495          13.39178516
         "BPM.19L4.B1"        "BPM.18L4.B1"          5990.530563          6043.979079                    1      0.1279624039263                    0           0.12790973          13.49193466
         "BPM.18L4.B1"        "BPM.17L4.B1"          6043.979079          6097.427595                    1       0.119165296576                    0           0.11915836          13.61984439
